Models,Log.likelihood,AIC,BIC
Poisson,-86566.17932112562,173176.35864225123,173361.1434888137
Negative Binomial,-64611.54564407386,129269.09128814773,129462.27544591755
Zero-inflated Negative Binomial,-64369.55663339908,128829.11326679816,129207.08227113042
Hurdel Negative Binomial Model,-64254.89731457649,128599.79462915298,128977.76363348524
Hurdle Probit Poisson Log Normal Model,-77976.35068045133,156040.70136090266,156410.27105402754
